Gene,D1,D2,D3,V1,V2,V3
MTRNR2L8,629.585,597.011,583.402,304.592,360.962,376.784
HIST1H3H,11.8769,13.6481,13.227,3.76013,4.19564,4.65051
PTTG1IP,65.0088,63.6412,60.1611,39.5547,42.663,43.5293
TFCP2,4.51977,5.80723,5.25406,20.7948,19.7646,23.4188
CTSS,95.3385,105.768,92.3645,47.7214,53.0072,51.4251
SESN1,93.4482,110.768,121.311,46.7531,43.3149,45.0286
NASP,0,0,0,10.2131,8.03303,8.3474
FAM72D,1.32216,1.53978,1.58568,10.8023,9.70977,9.90101
EPAS1,3.9913,3.19988,3.18028,1.14229,1.14221,1.13324
TWISTNB,5.35051,5.88655,7.10236,26.0143,24.0765,25.5836
PNRC1,46.8547,48.6482,49.2889,29.7918,29.0895,27.1842
MTRNR2L1,399.58,432.501,436.598,204.183,231.768,252.84
PEA15,16.0448,17.5598,16.5259,44.9124,42.9783,47.0818
CKAP2L,0.804831,0.434189,0.401178,6.90467,5.92412,6.27675
TCP1,40.9203,45.709,31.3683,155.873,149.846,151.456
NCF1,185.889,124.061,114.769,33.8971,39.9317,33.0033
PRAM1,5.33119,3.08828,2.63391,42.705,48.3119,38.951
SUGP2,0.466577,0.353188,0.477879,3.27707,3.50279,3.08274
HAX1,47.5265,42.489,42.5882,116.576,117.045,117.68
LDHA,33.1074,26.1903,26.7784,102.825,94.3306,99.748
MTHFD1,27.942,28.8396,31.304,77.511,74.4285,78.5217
ITGB7,30.4335,22.1344,19.0011,5.49935,7.18527,6.09732
UBA7,7.39029,5.59093,4.70071,30.0998,31.5391,26.4508
PRR11,3.56195,2.66575,3.25883,12.8411,12.6496,14.0261
ACAT2,16.5031,12.171,11.7032,59.484,52.3674,54.8855
PIK3IP1,14.0794,14.7443,14.137,5.7125,6.09528,5.82677
ATIC,56.3918,55.9349,56.3361,135.381,133.135,138.384
EPB41L3,58.5713,65.7625,66.3567,38.1546,34.1786,38.6382
SOAT1,0.456024,0.790285,0.724792,6.3657,6.14849,6.92613
EEF1E1,10.2645,13.2054,16.7009,98.0966,94.5182,107.711
NDUFB5,49.0273,55.8829,55.5585,147.327,153.226,159.686
SORL1,8.89293,8.97201,8.47565,5.71833,5.64675,6.03767
PYCR1,14.2862,12.9035,9.47557,47.5344,53.1034,52.5512
GSG2,0.582512,0.936684,0.680373,6.03096,6.29221,6.39197
